title,outcome,size,avgPrice,initialValue,currentValue,cashPnl,percentPnl,realizedPnl,curPrice,endDate,redeemable,eventSlug
Will Trump nominate Judy Shelton as the next Fed chair?,No,1000,0.979,979,969.5,-9.5,-0.9703,0,0.9695,2026-12-31,False,who-will-trump-nominate-as-fed-chair
AI model scores ≥ 90% on FrontierMath Benchmark before 2027?,No,1000,0.8425,842.503,875,32.4969,3.8571,-9.9875,0.875,2026-12-31,False,ai-model-scores-90-on-frontiermath-benchmark-before-2027
"Will the US not strike Iran by February 28, 2026?",Yes,600,0.88,528,525,-3,-0.5681,0,0.875,2026-02-28,False,us-next-strikes-iran-on-843
"Will US or Israel strike Iran by February 28, 2026?",No,400,0.875,350,350,0,0,0,0.875,2026-12-31,False,usisrael-strikes-iran-by
Will the 2026 Bad Bunny Super Bowl halftime show video get at least 150M views in its first 7 days?,No,375.3053,0.9008,338.0972,375.1177,37.0204,10.9496,0,0.9995,2026-02-15,False,of-views-on-bad-bunny-halftime-show-youtube-in-week-1
Will Russia enter Zaporizhia by June 30?,No,283.31,0.86,243.6466,245.0631,1.4164,0.5813,0,0.865,2026-06-30,False,which-cities-will-russia-enter-by-june-30
Will the 2026 Bad Bunny Super Bowl halftime show video get between 125M and 150M views in its first 7 days?,No,230,0.8679,199.6296,229.885,30.2553,15.1557,0,0.9995,2026-02-15,False,of-views-on-bad-bunny-halftime-show-youtube-in-week-1
"US strikes Iran by February 28, 2026?",No,200,0.89,178,177,-1,-0.5617,12,0.885,2026-01-31,False,us-strikes-iran-by
Will Russia enter Dopropillia by June 30?,No,271.38,0.42,113.9796,118.0503,4.0707,3.5714,0,0.435,2026-06-30,False,which-cities-will-russia-enter-by-june-30
Will Russia capture all of Vovchansk by March 31?,No,150,0.6933,103.9999,108.75,4.75,4.5673,0,0.725,2025-12-31,False,will-russia-capture-all-of-vovchansk-by
Will JD Vance win the 2028 US Presidential Election?,Yes,400,0.245,98,97.8,-0.2,-0.204,0,0.2445,2028-11-07,False,presidential-election-winner-2028
Will Russia capture all of Huliaipole by February 28?,No,179.61,0.5154,92.5876,129.3192,36.7315,39.6721,32.2014,0.72,2026-02-28,False,will-russia-capture-all-of-huliaipole-by-february-28
Will Russia capture all of Rodynske by March 31?,No,183.22,0.48,87.9456,122.7574,34.8118,39.5833,0,0.67,2026-03-31,False,will-russia-capture-all-of-rodynske-by
